symbol,total_trades,win_rate,profit_factor,net_pnl,max_dd,atr_mult,min_sl,tp1,tp2,adx,session,room2h
EURUSD,30,33.33333333333333,0.3644256881067442,-12290.533173883756,12.022663489839628,1.0,12.0,1.0,1.5,20.0,peak,False
EURUSD,30,30.0,0.43293334377664544,-11621.520748490366,11.976133696281417,1.0,12.0,1.2,1.8,20.0,peak,False
EURUSD,30,23.333333333333332,0.42008547021255277,-12331.255788057548,12.764700841706954,1.0,12.0,1.5,2.0,20.0,peak,False
EURUSD,29,31.03448275862069,0.3464844582339381,-12574.750000000495,12.10985507843787,1.0,15.0,1.0,1.5,20.0,peak,False
EURUSD,29,27.586206896551722,0.40871175581495894,-11462.300000000701,11.079988410170193,1.0,15.0,1.2,1.8,20.0,peak,False
EURUSD,29,24.137931034482758,0.39795092642435514,-12134.570000000691,11.334309761469486,1.0,15.0,1.5,2.0,20.0,peak,False
EURUSD,32,31.25,0.4210284579040819,-12432.196787649402,12.573170443945292,1.2,8.0,1.0,1.5,20.0,peak,False
EURUSD,31,32.25806451612903,0.37684344381033347,-12706.625262453555,12.634095940018836,1.2,8.0,1.2,1.8,20.0,peak,False
EURUSD,31,25.806451612903224,0.3901397303973491,-13508.448961209855,13.945839770017443,1.2,8.0,1.5,2.0,20.0,peak,False
EURUSD,31,32.25806451612903,0.4440475342899797,-11430.080800062526,11.572667742858934,1.2,10.0,1.0,1.5,20.0,peak,False
EURUSD,30,33.33333333333333,0.4369695850681709,-10975.921921923058,11.681667025365483,1.2,10.0,1.2,1.8,20.0,peak,False
EURUSD,30,26.666666666666668,0.41132497408681346,-12511.580806842569,13.00774099907714,1.2,10.0,1.5,2.0,20.0,peak,False
EURUSD,30,33.33333333333333,0.40027310987203796,-11666.942935256244,12.008457178087625,1.2,12.0,1.0,1.5,20.0,peak,False
EURUSD,30,30.0,0.39255992336368184,-12341.912989103352,11.959942829789043,1.2,12.0,1.2,1.8,20.0,peak,False
EURUSD,30,23.333333333333332,0.4207819295622971,-12307.125144408492,12.748240605395766,1.2,12.0,1.5,2.0,20.0,peak,False
EURUSD,29,31.03448275862069,0.34685204939177877,-12567.676921218663,12.102744387657168,1.2,15.0,1.0,1.5,20.0,peak,False
EURUSD,29,27.586206896551722,0.4088047395006939,-11461.413836011401,11.079098419666721,1.2,15.0,1.2,1.8,20.0,peak,False
EURUSD,29,24.137931034482758,0.3980352317839323,-12132.870787541004,11.334309761469486,1.2,15.0,1.5,2.0,20.0,peak,False
EURUSD,29,34.48275862068966,0.35218616477331494,-11946.369643882048,11.480429494187177,1.5,8.0,1.0,1.5,20.0,peak,False
EURUSD,29,31.03448275862069,0.42036502885553856,-11287.834852053522,10.907116001393563,1.5,8.0,1.2,1.8,20.0,peak,False
EURUSD,29,24.137931034482758,0.4336484925537646,-11518.518824483632,11.164333728683674,1.5,8.0,1.5,2.0,20.0,peak,False
EURUSD,29,34.48275862068966,0.35243103021027106,-11933.556990468467,11.467549041982972,1.5,10.0,1.0,1.5,20.0,peak,False
EURUSD,29,31.03448275862069,0.4206441824285434,-11274.911226365031,10.89413691242213,1.5,10.0,1.2,1.8,20.0,peak,False
EURUSD,29,24.137931034482758,0.43395250067901303,-11504.270835474934,11.160831267228852,1.5,10.0,1.5,2.0,20.0,peak,False
EURUSD,29,34.48275862068966,0.38693467248327645,-11290.355712876612,11.032057887533226,1.5,12.0,1.0,1.5,20.0,peak,False
EURUSD,29,31.03448275862069,0.4218737619999442,-11231.361987658805,10.850400776957342,1.5,12.0,1.2,1.8,20.0,peak,False
EURUSD,29,24.137931034482758,0.4350439808985581,-11463.31804392043,11.149921974341805,1.5,12.0,1.5,2.0,20.0,peak,False
EURUSD,28,32.142857142857146,0.3666825424925908,-11640.643191180643,11.173085274807033,1.5,15.0,1.0,1.5,20.0,peak,False
EURUSD,28,28.57142857142857,0.4323102864874927,-10517.214376621036,10.133188316163992,1.5,15.0,1.2,1.8,20.0,peak,False
EURUSD,28,25.0,0.42029714712563465,-11191.323587302395,10.394401252106043,1.5,15.0,1.5,2.0,20.0,peak,False
EURUSD,28,32.142857142857146,0.37162571553906704,-11569.028538621307,11.10457612610873,1.8,8.0,1.0,1.5,20.0,peak,False
EURUSD,28,25.0,0.3502178330848937,-12510.111820260689,11.603125288486586,1.8,8.0,1.2,1.8,20.0,peak,False
EURUSD,28,25.0,0.37372224013955796,-12069.745149897382,11.158193443251445,1.8,8.0,1.5,2.0,20.0,peak,False
EURUSD,28,32.142857142857146,0.37162571553906704,-11569.028538621307,11.10457612610873,1.8,10.0,1.0,1.5,20.0,peak,False
EURUSD,28,25.0,0.3502178330848937,-12510.111820260689,11.603125288486586,1.8,10.0,1.2,1.8,20.0,peak,False
EURUSD,28,25.0,0.37372224013955796,-12069.745149897382,11.158193443251445,1.8,10.0,1.5,2.0,20.0,peak,False
EURUSD,28,32.142857142857146,0.3720378849554715,-11554.730664303643,11.090203157261264,1.8,12.0,1.0,1.5,20.0,peak,False
EURUSD,28,25.0,0.35039798886951856,-12500.213078143512,11.593123928501564,1.8,12.0,1.2,1.8,20.0,peak,False
EURUSD,28,25.0,0.3739001894480517,-12060.572987612846,11.148926195376633,1.8,12.0,1.5,2.0,20.0,peak,False
EURUSD,28,32.142857142857146,0.37335341744879935,-11506.693709951607,11.041913905790118,1.8,15.0,1.0,1.5,20.0,peak,False
EURUSD,28,25.0,0.3331738173660122,-12790.439992075932,11.88635955472719,1.8,15.0,1.2,1.8,20.0,peak,False
