trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,return_pct
35,XAUUSD,BUY,2026-07-15 17:30:00+00:00,4055.14,4033.4187054470603,4085.549812374115,4102.9268480164665,4033.4187054470603,21.72129455293939,30.409812374115145,47.786848016466664,0.02,0.01,0.01,False,False,False,5253.782958292651,2026-07-15 22:00:00+00:00,4061.03,EOD_EXIT,270.0,5.89,5.89,0.1,11.68,5265.46,0.22231599768627883
36,NAS100,SELL,2026-07-15 19:15:00+00:00,29438.800000000003,29625.99471093324,29158.007933600147,29064.410578133527,29625.99471093324,187.19471093323745,280.79206639985614,374.3894218664749,0.03,0.01,0.02,False,False,False,5253.782958292651,2026-07-15 22:00:00+00:00,29560.9,EOD_EXIT,165.0,-12.21,-24.42,0.15,-36.78,5228.68,-0.7000669858648403
37,XAUUSD,SELL,2026-07-16 08:10:00+00:00,4025.44,4043.715330838082,3999.8545368266855,3985.23427215622,4025.44,18.27533083808184,25.585463173314572,40.205727843780046,0.03,0.01,0.02,True,True,True,5228.682958292651,2026-07-16 13:00:00+00:00,3985.23427215622,FULL_TP2,290.0,25.59,80.41,0.15,105.85,5334.53,2.0244103695773465
38,NAS100,SELL,2026-07-16 15:05:00+00:00,29216.2,29395.333650655888,28947.49952401617,28857.932698688226,29216.2,179.13365065588707,268.7004759838306,358.26730131177413,0.03,0.01,0.02,True,False,True,5334.529877153525,2026-07-16 22:00:00+00:00,29045.1,EOD_EXIT,415.0,26.87,34.22,0.15,60.94,5395.47,1.1423687073342859
39,XAUUSD,SELL,2026-07-16 16:10:00+00:00,3989.41,4013.3927285718446,3955.8341799994173,3936.6479971419412,4013.3927285718446,23.98272857184481,33.57582000058273,52.76200285805859,0.02,0.01,0.01,False,False,False,5334.529877153525,2026-07-16 22:00:00+00:00,3978.86,EOD_EXIT,350.0,10.55,10.55,0.1,21.0,5416.47,0.39366168122776507
40,NAS100,SELL,2026-07-17 12:00:00+00:00,28532.600000000002,28697.85671667069,28284.714924993972,28202.08656665863,28532.600000000002,165.25671667068684,247.88507500603026,330.5134333413737,0.03,0.01,0.02,True,False,True,5416.469924751908,2026-07-17 14:00:00+00:00,28532.600000000002,TP1_THEN_BE,120.0,24.79,0.0,0.15,24.64,5441.11,0.454908830701734
41,NAS100,BUY,2026-07-20 15:40:00+00:00,28875.699999999997,28693.182171216875,29149.47674317468,29240.735657566245,28693.182171216875,182.5178287831234,273.7767431746851,365.0356575662468,0.03,0.01,0.02,False,False,False,5441.108432252511,2026-07-20 19:00:00+00:00,28693.182171216875,SL,200.0,-18.25,-36.5,0.15,-54.91,5386.2,-1.0091693757565559
43,XAUUSD,BUY,2026-07-21 10:15:00+00:00,4067.7,4048.5093964204916,4094.566845011311,4109.919327874918,4048.5093964204916,19.19060357950814,26.866845011311394,42.21932787491791,0.03,0.01,0.02,False,False,False,5386.2030836175745,2026-07-21 13:30:00+00:00,4048.5093964204916,SL,195.0,-19.19,-38.38,0.15,-57.72,5328.48,-1.0716268789708
42,NAS100,BUY,2026-07-21 08:00:00+00:00,28984.899999999998,28830.27594302603,29216.836085460945,29294.14811394793,28830.27594302603,154.6240569739658,231.93608546094868,309.2481139479316,0.03,0.01,0.02,False,False,False,5386.2030836175745,2026-07-21 22:00:00+00:00,29145.2,EOD_EXIT,840.0,16.03,32.06,0.15,47.94,5376.42,0.8900518464632735
44,XAUUSD,BUY,2026-07-21 14:10:00+00:00,4066.16,4047.5565488901934,4092.204831553729,4107.087592441574,4047.5565488901934,18.60345110980663,26.04483155372928,40.92759244157459,0.03,0.01,0.02,False,False,False,5328.48127287905,2026-07-21 22:00:00+00:00,4078.59,EOD_EXIT,470.0,12.43,24.86,0.15,37.14,5413.56,0.6970091119403101
