trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
130,US30,SELL,2026-05-07 20:45:00+00:00,49601.0,49725.4769495775,49426.7322705915,49352.046100845,49725.4769495775,124.47694957750045,174.26772940850063,248.9538991550009,0.04,0.02,0.02,False,False,5576.49,2026-05-07 22:00:00+00:00,49558.0,75.0,EOD_EXIT,17.0,5593.49,2026-05-07 20:45:00+00:00,2026-05
131,US30,SELL,2026-05-08 07:10:00+00:00,49664.0,49758.39405722793,49531.8483198809,49475.211885544144,49758.39405722793,94.39405722792841,132.15168011909978,188.78811445585683,0.05,0.03,0.02,False,False,5593.49,2026-05-08 09:05:00+00:00,49758.39405722793,115.0,SL,-50.25,5543.24,2026-05-08 07:10:00+00:00,2026-05
132,US30,SELL,2026-05-08 18:40:00+00:00,49595.5,49695.135494973394,49456.01030703725,49396.22901005322,49595.5,99.6354949733919,139.48969296274865,199.2709899467838,0.05,0.03,0.02,True,False,5543.24,2026-05-10 22:05:00+00:00,49447.8,3085.0,EOD_EXIT,71.14,5614.38,2026-05-08 18:40:00+00:00,2026-05
133,US30,BUY,2026-05-11 16:35:00+00:00,49673.0,49577.375639749516,49806.874104350674,49864.24872050096,49577.375639749516,95.6243602504813,133.8741043506738,191.2487205009626,0.05,0.03,0.02,False,False,5614.38,2026-05-11 22:00:00+00:00,49748.0,325.0,EOD_EXIT,37.25,5651.63,2026-05-11 16:35:00+00:00,2026-05
134,US30,BUY,2026-05-12 07:40:00+00:00,49708.0,49630.0325310015,49817.15445659789,49863.934937996986,49630.0325310015,77.9674689984936,109.15445659789104,155.9349379969872,0.06,0.03,0.03,False,False,5651.63,2026-05-12 13:30:00+00:00,49630.0325310015,350.0,SL,-50.3,5601.33,2026-05-12 07:40:00+00:00,2026-05
135,US30,SELL,2026-05-13 14:45:00+00:00,49565.0,49655.92940140567,49437.69883803206,49383.141197188655,49655.92940140567,90.92940140567225,127.30116196794114,181.8588028113445,0.05,0.03,0.02,False,False,5601.33,2026-05-13 16:20:00+00:00,49655.92940140567,95.0,SL,-50.25,5551.08,2026-05-13 14:45:00+00:00,2026-05
136,US30,BUY,2026-05-14 08:10:00+00:00,49905.0,49832.8313243153,50006.036145958584,50049.3373513694,49832.8313243153,72.16867568470039,101.03614595858053,144.33735136940078,0.07,0.04,0.03,False,False,5551.08,2026-05-14 10:10:00+00:00,50049.3373513694,120.0,FULL_TP2,83.37,5634.45,2026-05-14 08:10:00+00:00,2026-05
137,US30,BUY,2026-05-14 15:00:00+00:00,50141.0,50038.01885028821,50285.17360959651,50346.96229942359,50038.01885028821,102.9811497117951,144.17360959651313,205.9622994235902,0.05,0.03,0.02,False,False,5634.45,2026-05-14 16:55:00+00:00,50038.01885028821,115.0,SL,-50.25,5584.2,2026-05-14 15:00:00+00:00,2026-05
138,US30,BUY,2026-05-14 18:15:00+00:00,50138.0,50023.78294973877,50297.90387036572,50366.434100522456,50023.78294973877,114.21705026122955,159.90387036572136,228.4341005224591,0.04,0.02,0.02,False,False,5584.2,2026-05-14 22:00:00+00:00,50085.0,225.0,EOD_EXIT,-21.4,5562.8,2026-05-14 18:15:00+00:00,2026-05
139,US30,SELL,2026-05-15 11:40:00+00:00,49769.0,49871.888252794575,49624.95644608759,49563.22349441085,49769.0,102.88825279457495,144.04355391240492,205.7765055891499,0.05,0.03,0.02,True,False,5562.8,2026-05-15 13:25:00+00:00,49769.0,105.0,TP1_THEN_BE,42.96,5605.76,2026-05-15 11:40:00+00:00,2026-05
