trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
53,XAGUSD,BUY,2026-02-24 14:05:00+00:00,87.375,86.27854036365642,88.91004349088101,89.56791927268716,86.27854036365642,1.0964596363435795,1.535043490881011,2.192919272687159,0.01,0.01,0.0,False,False,6381.01,2026-02-24 22:00:00+00:00,86.799,475.0,EOD_EXIT,-28.85,6352.16,2026-02-24 14:05:00+00:00,2026-02
54,XAGUSD,BUY,2026-02-25 11:05:00+00:00,90.522,89.58249850244283,91.83730209658005,92.40100299511434,89.58249850244283,0.9395014975571698,1.3153020965800377,1.8790029951143397,0.01,0.01,0.0,False,False,6352.16,2026-02-25 13:35:00+00:00,89.58249850244283,150.0,SL,-50.05,6302.11,2026-02-25 11:05:00+00:00,2026-02
55,XAGUSD,BUY,2026-02-25 15:10:00+00:00,90.401,89.45092072907823,91.73111097929046,92.30115854184352,89.45092072907823,0.9500792709217588,1.3301109792904622,1.9001585418435176,0.01,0.01,0.0,False,False,6302.11,2026-02-25 19:30:00+00:00,89.45092072907823,260.0,SL,-50.05,6252.06,2026-02-25 15:10:00+00:00,2026-02
56,XAGUSD,SELL,2026-02-26 10:50:00+00:00,87.027,88.1858613755488,85.4045940742317,84.70927724890241,87.027,1.1588613755487929,1.6224059257683099,2.3177227510975857,0.01,0.01,0.0,True,False,6252.06,2026-02-26 14:45:00+00:00,87.027,235.0,TP1_THEN_BE,81.07,6333.13,2026-02-26 10:50:00+00:00,2026-02
57,XAGUSD,SELL,2026-02-26 16:20:00+00:00,86.785,88.01961125323676,85.05654424546853,84.31577749352648,88.01961125323676,1.2346112532367584,1.7284557545314616,2.4692225064735167,0.01,0.01,0.0,False,False,6333.13,2026-02-26 18:30:00+00:00,88.01961125323676,130.0,SL,-50.05,6283.08,2026-02-26 16:20:00+00:00,2026-02
58,XAGUSD,BUY,2026-02-27 07:00:00+00:00,90.223,89.28255348534175,91.53962512052153,92.10389302931648,89.28255348534175,0.9404465146582438,1.3166251205215413,1.8808930293164876,0.01,0.01,0.0,False,False,6283.08,2026-02-27 09:10:00+00:00,89.28255348534175,130.0,SL,-50.05,6233.03,2026-02-27 07:00:00+00:00,2026-02
59,XAGUSD,BUY,2026-02-27 10:05:00+00:00,89.824,88.9313119560116,91.07376326158375,91.6093760879768,89.824,0.8926880439883967,1.2497632615837553,1.7853760879767935,0.01,0.01,0.0,True,False,6233.03,2026-02-27 12:20:00+00:00,91.6093760879768,135.0,FULL_TP2,62.44,6295.47,2026-02-27 10:05:00+00:00,2026-02
60,XAGUSD,BUY,2026-02-27 18:15:00+00:00,93.276,92.14566717167556,94.85846595965421,95.53666565664888,92.14566717167556,1.1303328283244394,1.582465959654215,2.2606656566488788,0.01,0.01,0.0,False,False,6295.47,2026-03-01 22:00:00+00:00,95.53666565664888,3105.0,FULL_TP2,79.07,6374.55,2026-02-27 18:15:00+00:00,2026-02
61,XAGUSD,BUY,2026-03-02 11:50:00+00:00,95.168,94.0277417244522,96.76436158576693,97.44851655109561,94.0277417244522,1.1402582755478035,1.5963615857669247,2.280516551095607,0.01,0.01,0.0,False,False,6374.55,2026-03-02 12:25:00+00:00,94.0277417244522,35.0,SL,-50.05,6324.5,2026-03-02 11:50:00+00:00,2026-03
62,XAGUSD,SELL,2026-03-02 20:40:00+00:00,89.502,91.05662653322912,87.32552285347921,86.39274693354174,91.05662653322912,1.5546265332291278,2.176477146520779,3.1092530664582556,0.01,0.01,0.0,False,False,6324.5,2026-03-02 22:00:00+00:00,90.027,80.0,EOD_EXIT,-26.3,6298.2,2026-03-02 20:40:00+00:00,2026-03
