trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
124,US30,SELL,2026-04-21 19:40:00+00:00,49113.7,49221.18272985243,48984.72072417708,48920.23108626562,49221.18272985243,107.4827298524292,128.97927582291504,193.46891373437253,0.05,0.03,0.02,False,False,False,5843.24,2026-04-21 20:05:00+00:00,49221.18272985243,25.0,SL,0.0,0.0,0.25,-50.25,5792.99
125,US30,SELL,2026-04-22 08:05:00+00:00,49430.7,49515.921140602266,49328.434631277276,49277.30194691592,49515.921140602266,85.22114060226541,102.26536872271849,153.39805308407773,0.06,0.03,0.03,False,False,False,5792.99,2026-04-22 12:00:00+00:00,49515.921140602266,235.0,SL,0.0,0.0,0.3,-50.3,5742.69
126,US30,BUY,2026-04-22 15:25:00+00:00,49577.7,49488.130668159545,49685.183198208535,49738.92479731281,49488.130668159545,89.56933184045036,107.48319820854043,161.22479731281064,0.06,0.03,0.03,False,False,False,5742.69,2026-04-22 15:40:00+00:00,49488.130668159545,15.0,SL,0.0,0.0,0.3,-50.3,5692.39
127,US30,SELL,2026-04-23 08:40:00+00:00,49224.7,49306.76777674478,49126.21866790625,49076.97800185938,49224.7,82.06777674478613,98.48133209374335,147.72199814061503,0.06,0.03,0.03,True,False,False,5692.39,2026-04-23 11:00:00+00:00,49224.7,140.0,TP1_THEN_BE,29.54,0.0,0.3,29.24,5721.63
128,US30,SELL,2026-04-23 11:30:00+00:00,49155.7,49237.42496556424,49057.630041322904,49008.59506198435,49237.42496556424,81.72496556424751,98.069958677097,147.1049380156455,0.06,0.03,0.03,False,False,False,5721.63,2026-04-23 11:45:00+00:00,49237.42496556424,15.0,SL,0.0,0.0,0.3,-50.3,5671.33
129,US30,BUY,2026-04-23 18:25:00+00:00,49338.7,49214.72881928455,49487.46541685853,49561.848125287805,49214.72881928455,123.97118071544801,148.7654168585376,223.1481252878064,0.04,0.02,0.02,False,False,False,5671.33,2026-04-23 22:00:00+00:00,49275.7,215.0,EOD_CLOSE,-12.6,-12.6,0.2,-25.4,5645.93
130,US30,SELL,2026-04-24 08:00:00+00:00,49251.7,49336.21759742303,49150.27888309236,49099.56832463854,49251.7,84.51759742303148,101.42111690763777,152.13167536145664,0.06,0.03,0.03,True,False,False,5645.93,2026-04-24 11:00:00+00:00,49251.7,180.0,TP1_THEN_BE,30.43,0.0,0.3,30.13,5676.06
131,US30,SELL,2026-04-24 16:35:00+00:00,49159.7,49266.11176189389,49032.00588572733,48968.158828591,49266.11176189389,106.41176189388767,127.6941142726652,191.5411714089978,0.05,0.03,0.02,False,False,False,5676.06,2026-04-24 17:50:00+00:00,49266.11176189389,75.0,SL,0.0,0.0,0.25,-50.25,5625.81
132,US30,BUY,2026-04-28 07:45:00+00:00,49264.7,49212.3373259875,49327.535208814996,49358.952813222495,49212.3373259875,52.36267401249701,62.835208814996406,94.25281322249461,0.1,0.05,0.05,False,False,False,5625.81,2026-04-28 08:00:00+00:00,49212.3373259875,15.0,SL,0.0,0.0,0.5,-50.5,5575.31
133,US30,SELL,2026-04-29 20:10:00+00:00,48728.7,48807.89650267571,48633.66419678914,48586.14629518372,48807.89650267571,79.19650267571143,95.03580321085371,142.55370481628057,0.06,0.03,0.03,False,False,False,5575.31,2026-04-29 22:00:00+00:00,48754.2,110.0,EOD_CLOSE,-7.65,-7.65,0.3,-15.6,5559.71
