trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
96,GER40,SELL,2026-05-12 08:00:00+00:00,24098.1,24194.37893812674,23963.309486622555,23905.54212374651,24194.37893812674,96.27893812674482,134.79051337744275,192.55787625348964,0.04,0.02,0.02,False,False,5297.92,2026-05-12 09:30:00+00:00,24194.37893812674,90.0,SL,-50.2,5247.72,2026-05-12 08:00:00+00:00,2026-05
97,GER40,SELL,2026-05-13 10:20:00+00:00,24093.9,24183.415357007536,23968.578500189455,23914.869285984933,24183.415357007536,89.51535700753377,125.32149981054727,179.03071401506753,0.05,0.03,0.02,False,False,5247.72,2026-05-13 18:50:00+00:00,24183.415357007536,510.0,SL,-50.25,5197.47,2026-05-13 10:20:00+00:00,2026-05
98,GER40,BUY,2026-05-14 14:25:00+00:00,24427.5,24345.21311023772,24542.701645667188,24592.073779524555,24345.21311023772,82.28688976227816,115.20164566718942,164.57377952455633,0.05,0.03,0.02,False,False,5197.47,2026-05-14 16:55:00+00:00,24345.21311023772,150.0,SL,-50.25,5147.22,2026-05-14 14:25:00+00:00,2026-05
99,GER40,SELL,2026-05-15 11:30:00+00:00,24037.3,24140.850794373433,23892.328887877193,23830.19841125313,24037.3,103.55079437343392,144.97111212280748,207.10158874686783,0.04,0.02,0.02,True,False,5147.22,2026-05-18 06:00:00+00:00,23830.19841125313,3990.0,FULL_TP2,81.74,5228.96,2026-05-15 11:30:00+00:00,2026-05
100,GER40,BUY,2026-05-18 19:15:00+00:00,24269.0,24145.410604516495,24442.025153676903,24516.178790967006,24269.0,123.58939548350281,173.02515367690393,247.17879096700563,0.03,0.01,0.02,True,False,5228.96,2026-05-19 07:35:00+00:00,24516.178790967006,740.0,FULL_TP2,77.51,5306.47,2026-05-18 19:15:00+00:00,2026-05
101,GER40,BUY,2026-05-19 12:30:00+00:00,24619.0,24482.623526507417,24809.927062889616,24891.752946985165,24482.623526507417,136.37647349258324,190.92706288961654,272.7529469851665,0.03,0.01,0.02,False,False,5306.47,2026-05-19 13:25:00+00:00,24482.623526507417,55.0,SL,-50.15,5256.32,2026-05-19 12:30:00+00:00,2026-05
102,GER40,BUY,2026-05-20 07:05:00+00:00,24375.3,24255.813369027557,24542.581283361418,24614.27326194488,24375.3,119.486630972441,167.2812833614174,238.973261944882,0.04,0.02,0.02,True,False,5256.32,2026-05-20 14:15:00+00:00,24614.27326194488,430.0,FULL_TP2,94.35,5350.67,2026-05-20 07:05:00+00:00,2026-05
103,GER40,BUY,2026-05-21 08:00:00+00:00,24741.7,24627.645720591634,24901.375991171713,24969.80855881673,24627.645720591634,114.05427940836502,159.67599117171102,228.10855881673004,0.04,0.02,0.02,False,False,5350.67,2026-05-21 10:35:00+00:00,24627.645720591634,155.0,SL,-50.2,5300.47,2026-05-21 08:00:00+00:00,2026-05
104,GER40,BUY,2026-05-21 17:10:00+00:00,24725.2,24601.825173125093,24897.92475762487,24971.949653749816,24725.2,123.37482687490794,172.7247576248711,246.74965374981588,0.03,0.01,0.02,True,False,5300.47,2026-05-22 07:35:00+00:00,24725.2,865.0,TP1_THEN_BE,19.95,5320.42,2026-05-21 17:10:00+00:00,2026-05
105,GER40,BUY,2026-05-22 11:40:00+00:00,24802.9,24683.701370570863,24969.77808120079,25041.297258858274,24683.701370570863,119.19862942913659,166.8780812007912,238.39725885827318,0.04,0.02,0.02,False,False,5320.42,2026-05-25 06:00:00+00:00,25041.297258858274,3980.0,FULL_TP2,94.12,5414.55,2026-05-22 11:40:00+00:00,2026-05
106,GER40,BUY,2026-05-25 19:50:00+00:00,25388.5,25304.48916212922,25506.115173019094,25556.521675741562,25304.48916212922,84.01083787078058,117.6151730190928,168.02167574156115,0.05,0.03,0.02,False,False,5414.55,2026-05-26 06:00:00+00:00,25304.48916212922,610.0,SL,-50.25,5364.3,2026-05-25 19:50:00+00:00,2026-05
107,GER40,SELL,2026-05-27 17:00:00+00:00,25178.3,25260.32669937356,25063.462620877017,25014.24660125288,25178.3,82.02669937355978,114.83737912298368,164.05339874711956,0.05,0.03,0.02,True,False,5364.3,2026-05-28 08:10:00+00:00,25178.3,910.0,TP1_THEN_BE,39.84,5404.14,2026-05-27 17:00:00+00:00,2026-05
108,GER40,SELL,2026-05-29 07:20:00+00:00,25102.2,25185.794097015932,24985.168264177697,24935.011805968137,25185.794097015932,83.59409701593157,117.03173582230419,167.18819403186313,0.05,0.03,0.02,False,False,5404.14,2026-05-29 08:00:00+00:00,25185.794097015932,40.0,SL,-50.25,5353.89,2026-05-29 07:20:00+00:00,2026-05
109,GER40,SELL,2026-05-29 08:55:00+00:00,25123.9,25209.008804371937,25004.74767387929,24953.68239125613,25209.008804371937,85.10880437193642,119.15232612071097,170.21760874387283,0.05,0.03,0.02,False,False,5353.89,2026-06-01 09:25:00+00:00,25209.008804371937,4350.0,SL,-50.25,5303.64,2026-05-29 08:55:00+00:00,2026-05
110,GER40,SELL,2026-06-01 16:10:00+00:00,24982.7,25094.579687763555,24826.068437131027,24758.940624472896,25094.579687763555,111.87968776355261,156.63156286897365,223.75937552710522,0.04,0.02,0.02,False,False,5303.64,2026-06-01 17:25:00+00:00,25094.579687763555,75.0,SL,-50.2,5253.44,2026-06-01 16:10:00+00:00,2026-06
111,GER40,BUY,2026-06-02 10:20:00+00:00,25266.0,25158.93843551255,25415.886190282432,25480.1231289749,25158.93843551255,107.06156448745051,149.8861902824307,214.12312897490102,0.04,0.02,0.02,False,False,5253.44,2026-06-02 12:50:00+00:00,25158.93843551255,150.0,SL,-50.2,5203.24,2026-06-02 10:20:00+00:00,2026-06
112,GER40,SELL,2026-06-03 12:30:00+00:00,24875.4,24961.3544429012,24755.063779938326,24703.491114197604,24875.4,85.95444290119791,120.33622006167707,171.90888580239582,0.05,0.03,0.02,True,False,5203.24,2026-06-04 07:05:00+00:00,24875.4,1115.0,TP1_THEN_BE,41.76,5245.0,2026-06-03 12:30:00+00:00,2026-06
113,GER40,SELL,2026-06-04 10:30:00+00:00,24884.1,24970.777655084057,24762.75128288232,24710.744689831885,24970.777655084057,86.67765508405714,121.34871711767998,173.35531016811427,0.05,0.03,0.02,False,False,5245.0,2026-06-04 12:30:00+00:00,24970.777655084057,120.0,SL,-50.25,5194.75,2026-06-04 10:30:00+00:00,2026-06
114,GER40,BUY,2026-06-04 16:10:00+00:00,24944.5,24857.990170555182,25065.613761222747,25117.519658889636,24857.990170555182,86.50982944481876,121.11376122274626,173.01965888963753,0.05,0.03,0.02,False,False,5194.75,2026-06-05 06:00:00+00:00,24857.990170555182,830.0,SL,-50.25,5144.5,2026-06-04 16:10:00+00:00,2026-06
115,GER40,BUY,2026-06-05 07:45:00+00:00,24928.4,24853.857109195473,25032.760047126343,25077.48578160906,24853.857109195473,74.54289080452915,104.3600471263408,149.0857816090583,0.06,0.03,0.03,False,False,5144.5,2026-06-05 13:35:00+00:00,24853.857109195473,350.0,SL,-50.3,5094.2,2026-06-05 07:45:00+00:00,2026-06
116,GER40,SELL,2026-06-08 19:15:00+00:00,24584.7,24676.520842175374,24456.150820954477,24401.058315649254,24676.520842175374,91.8208421753728,128.54917904552192,183.6416843507456,0.05,0.03,0.02,False,False,5094.2,2026-06-09 07:50:00+00:00,24676.520842175374,755.0,SL,-50.25,5043.95,2026-06-08 19:15:00+00:00,2026-06
117,GER40,SELL,2026-06-10 06:25:00+00:00,24482.9,24600.05773380679,24318.879172670502,24248.584532386427,24482.9,117.15773380678651,164.02082732950112,234.31546761357302,0.04,0.02,0.02,True,False,5043.95,2026-06-10 09:15:00+00:00,24248.584532386427,170.0,FULL_TP2,92.51,5136.46,2026-06-10 06:25:00+00:00,2026-06
118,GER40,SELL,2026-06-10 14:50:00+00:00,24266.3,24387.78870015115,24096.215819788387,24023.322599697694,24266.3,121.4887001511522,170.08418021161307,242.9774003023044,0.04,0.02,0.02,True,False,5136.46,2026-06-11 08:10:00+00:00,24266.3,1040.0,TP1_THEN_BE,39.39,5175.84,2026-06-10 14:50:00+00:00,2026-06
119,GER40,SELL,2026-06-11 15:25:00+00:00,24209.5,24325.610949907914,24046.944670128923,23977.278100184176,24325.610949907914,116.11094990791241,162.55532987107736,232.22189981582483,0.04,0.02,0.02,False,False,5175.84,2026-06-11 17:25:00+00:00,24325.610949907914,120.0,SL,-50.2,5125.64,2026-06-11 15:25:00+00:00,2026-06
120,GER40,BUY,2026-06-12 06:55:00+00:00,24569.3,24440.158628056466,24750.097920720946,24827.582743887066,24569.3,129.14137194353287,180.79792072094602,258.28274388706575,0.03,0.01,0.02,True,False,5125.64,2026-06-12 10:25:00+00:00,24569.3,210.0,TP1_THEN_BE,20.89,5146.53,2026-06-12 06:55:00+00:00,2026-06
121,GER40,BUY,2026-06-16 06:00:00+00:00,24917.4,24834.576287782384,25033.353197104665,25083.047424435237,24917.4,82.82371221761758,115.95319710466461,165.64742443523517,0.05,0.03,0.02,True,False,5146.53,2026-06-16 08:15:00+00:00,25083.047424435237,135.0,FULL_TP2,78.78,5225.32,2026-06-16 06:00:00+00:00,2026-06
122,GER40,SELL,2026-06-17 07:30:00+00:00,24811.6,24886.437447504424,24706.8275734938,24661.925104991144,24886.437447504424,74.83744750442692,104.77242650619768,149.67489500885384,0.06,0.03,0.03,False,False,5225.32,2026-06-17 09:25:00+00:00,24886.437447504424,115.0,SL,-50.3,5175.02,2026-06-17 07:30:00+00:00,2026-06
