trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
93,AUDJPY,BUY,2026-04-09 18:40:00+00:00,112.536,112.34346595389157,112.80554766455182,112.94032149682772,112.34346595389157,0.19253404610844127,0.2695476645518178,0.4043214968277266,0.4,0.2,0.2,False,False,False,5483.43,2026-04-09 21:05:00+00:00,112.548,145.0,EOD_CLOSE,1.56,1.56,2.0,1.12,5484.55
94,AUDJPY,BUY,2026-04-10 17:45:00+00:00,112.7,112.53629012706956,112.92919382210263,113.04379073315394,112.53629012706956,0.16370987293044584,0.22919382210262415,0.3437907331539362,0.47,0.23,0.24,False,False,False,5484.55,2026-04-10 20:55:00+00:00,112.53629012706956,190.0,SL,0.0,0.0,2.35,-52.35,5432.2
95,AUDJPY,BUY,2026-04-13 11:00:00+00:00,112.63,112.4289244575181,112.91150575947466,113.052258639212,112.4289244575181,0.20107554248190498,0.28150575947466694,0.4222586392120004,0.38,0.19,0.19,False,False,False,5432.2,2026-04-13 11:50:00+00:00,112.4289244575181,50.0,SL,0.0,0.0,1.9,-51.9,5380.3
96,AUDJPY,BUY,2026-04-14 19:20:00+00:00,113.223,113.05640082509399,113.45623884486842,113.57285826730264,113.05640082509399,0.1665991749060145,0.23323884486842028,0.3498582673026304,0.46,0.23,0.23,False,False,False,5380.3,2026-04-14 21:05:00+00:00,113.089,105.0,EOD_CLOSE,-20.06,-20.06,2.3,-42.42,5337.88
97,AUDJPY,BUY,2026-04-16 06:45:00+00:00,114.139,113.97154253929806,114.3734404449827,114.49066066747407,113.97154253929806,0.1674574607019398,0.23444044498271568,0.3516606674740735,0.46,0.23,0.23,False,False,False,5337.88,2026-04-16 09:25:00+00:00,113.97154253929806,160.0,SL,0.0,0.0,2.3,-52.3,5285.58
98,AUDJPY,BUY,2026-04-16 11:50:00+00:00,114.023,113.86388499777547,114.24576100311434,114.3571415046715,113.86388499777547,0.15911500222452982,0.22276100311434172,0.33414150467151255,0.48,0.24,0.24,False,False,False,5285.58,2026-04-16 21:05:00+00:00,113.992,555.0,EOD_CLOSE,-4.84,-4.84,2.4,-12.09,5273.5
99,AUDJPY,BUY,2026-04-17 08:35:00+00:00,114.225,114.07494031377595,114.43508356071365,114.54012534107048,114.07494031377595,0.15005968622403995,0.21008356071365591,0.31512534107048384,0.51,0.26,0.25,False,False,False,5273.5,2026-04-17 09:45:00+00:00,114.07494031377595,70.0,SL,0.0,0.0,2.55,-52.55,5220.95
100,AUDJPY,BUY,2026-04-17 11:30:00+00:00,114.174,114.01161110399629,114.40134445440522,114.51501668160783,114.01161110399629,0.1623888960037238,0.2273444544052133,0.34101668160781995,0.47,0.23,0.24,False,False,False,5220.95,2026-04-17 14:00:00+00:00,114.01161110399629,150.0,SL,0.0,0.0,2.35,-52.35,5168.6
101,AUDJPY,SELL,2026-04-17 18:10:00+00:00,113.605,113.81109031790749,113.31647355492954,113.1722103323943,113.81109031790749,0.20609031790747512,0.28852644507046515,0.43278966760569765,0.37,0.18,0.19,False,False,False,5168.6,2026-04-19 21:05:00+00:00,113.1722103323943,3055.0,FULL_TP2,33.8,53.52,1.85,85.48,5254.07
102,AUDJPY,SELL,2026-04-20 07:55:00+00:00,113.618,113.83139995979163,113.3192400562917,113.16986008443757,113.83139995979163,0.21339995979163204,0.29875994370828485,0.4481399155624272,0.36,0.18,0.18,False,False,False,5254.07,2026-04-20 16:00:00+00:00,113.83139995979163,485.0,SL,0.0,0.0,1.8,-51.8,5202.27
103,AUDJPY,BUY,2026-04-21 16:00:00+00:00,114.18,114.01309753699253,114.41366344821047,114.5304951723157,114.01309753699253,0.16690246300747377,0.23366344821046325,0.3504951723156949,0.46,0.23,0.23,False,False,False,5202.27,2026-04-21 16:55:00+00:00,114.01309753699253,55.0,SL,0.0,0.0,2.3,-52.3,5149.97
