trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
32,GBPJPY,BUY,2026-02-03 18:50:00+00:00,213.171,212.94974683899335,213.43650379320798,213.56925568981194,212.94974683899335,0.22125316100664125,0.26550379320796946,0.3982556898119542,0.35,0.17,0.18,False,False,False,5391.14,2026-02-03 21:05:00+00:00,213.331,EOD_CLOSE,135.0,17.72,18.76,1.75,34.73,5425.87
33,GBPJPY,BUY,2026-02-04 08:55:00+00:00,214.729,214.53478672724287,214.9620559273086,215.07858389096288,214.729,0.1942132727571511,0.23305592730858132,0.34958389096287196,0.4,0.2,0.2,True,False,False,5425.87,2026-02-04 12:50:00+00:00,214.729,TP1_THEN_BE,235.0,30.37,0.0,2.0,28.37,5454.24
34,GBPJPY,SELL,2026-02-05 07:45:00+00:00,213.715,213.93381890803843,213.4524173103539,213.32112596553085,213.715,0.21881890803842322,0.26258268964610787,0.39387403446916175,0.35,0.17,0.18,True,False,False,5454.24,2026-02-05 08:15:00+00:00,213.32112596553085,FULL_TP2,30.0,29.08,46.19,1.75,73.52,5527.76
35,GBPJPY,SELL,2026-02-05 11:05:00+00:00,213.262,213.51471363058323,212.95874364330012,212.8071154649502,213.262,0.2527136305832309,0.30325635669987705,0.4548845350498155,0.3,0.15,0.15,True,False,False,5527.76,2026-02-05 12:35:00+00:00,212.8071154649502,FULL_TP2,90.0,29.64,44.45,1.5,72.59,5600.35
36,GBPJPY,SELL,2026-02-05 20:30:00+00:00,212.484,212.7933602163482,212.1127677403822,211.9271516105733,212.7933602163482,0.30936021634817634,0.3712322596178116,0.5568483894267173,0.25,0.12,0.13,False,False,False,5600.35,2026-02-05 21:05:00+00:00,212.402,EOD_CLOSE,35.0,6.41,6.94,1.25,12.11,5612.46
37,GBPJPY,BUY,2026-02-06 10:00:00+00:00,213.208,212.9368589798562,213.53336922417253,213.6960538362588,213.208,0.2711410201437883,0.325369224172546,0.48805383625881893,0.28,0.14,0.14,True,False,False,5612.46,2026-02-06 12:50:00+00:00,213.208,TP1_THEN_BE,170.0,29.68,0.0,1.4,28.28,5640.74
38,GBPJPY,SELL,2026-02-10 06:00:00+00:00,212.355,212.6306290954201,212.0242450854959,211.85886762824381,212.6306290954201,0.2756290954200919,0.33075491450411026,0.49613237175616537,0.28,0.14,0.14,False,False,False,5640.74,2026-02-10 06:45:00+00:00,212.6306290954201,SL,45.0,0.0,0.0,1.4,-51.4,5589.34
39,GBPJPY,SELL,2026-02-10 08:15:00+00:00,212.506,212.78019447513262,212.17696662984085,212.01244994476127,212.506,0.27419447513263057,0.3290333701591567,0.49355005523873496,0.28,0.14,0.14,True,False,False,5589.34,2026-02-10 09:20:00+00:00,212.01244994476127,FULL_TP2,65.0,30.01,45.02,1.4,73.63,5662.96
40,GBPJPY,SELL,2026-02-10 12:15:00+00:00,212.08,212.36361687849498,211.73965974580605,211.56948961870904,212.08,0.2836168784949786,0.3403402541939743,0.5105103812909614,0.27,0.14,0.13,True,False,False,5662.96,2026-02-10 13:15:00+00:00,211.56948961870904,FULL_TP2,60.0,31.04,43.24,1.35,72.93,5735.89
41,GBPJPY,SELL,2026-02-10 18:50:00+00:00,210.71,211.01827132169518,210.3400744139658,210.15511162094867,211.01827132169518,0.3082713216951853,0.3699255860342223,0.5548883790513335,0.25,0.12,0.13,False,False,False,5735.89,2026-02-10 21:05:00+00:00,210.596,EOD_CLOSE,135.0,8.91,9.66,1.25,17.32,5753.21
